gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season
22100550,2022-01-02,regular,1630581,Josh Giddey,OKC,OKC,DAL,36,17,7,16,43.8,3,5,60.0,0,0,0.0,1,12,13,14,4,0,3,1,6,0,2022
22100575,2022-01-05,regular,203999,Nikola Jokic,DEN,DEN,UTA,37,26,10,17,58.8,1,3,33.3,5,6,83.3,2,19,21,11,0,2,5,2,-1,0,2022
22100595,2022-01-08,regular,1627759,Jaylen Brown,BOS,BOS,NYK,35,22,9,15,60.0,2,4,50.0,2,3,66.7,2,9,11,11,2,0,3,1,23,1,2022
22100603,2022-01-09,regular,1629029,Luka Doncic,DAL,DAL,CHI,35,22,8,23,34.8,2,6,33.3,4,4,100.0,0,14,14,14,0,0,4,1,26,1,2022
22100627,2022-01-13,regular,203507,Giannis Antetokounmpo,MIL,MIL,GSW,30,30,11,17,64.7,0,2,0.0,8,12,66.7,2,10,12,11,0,3,5,2,22,1,2022
22100649,2022-01-15,regular,203999,Nikola Jokic,DEN,DEN,LAL,28,17,7,12,58.3,1,2,50.0,2,2,100.0,2,10,12,13,1,0,3,1,16,1,2022
22100653,2022-01-16,regular,203999,Nikola Jokic,DEN,DEN,UTA,37,25,10,18,55.6,2,5,40.0,3,3,100.0,3,12,15,14,2,0,3,5,5,0,2022
22100663,2022-01-17,regular,1629029,Luka Doncic,DAL,DAL,OKC,39,20,4,17,23.5,0,6,0.0,12,14,85.7,2,9,11,12,3,3,2,2,12,1,2022
22100692,2022-01-21,regular,203999,Nikola Jokic,DEN,DEN,MEM,40,26,11,16,68.8,2,4,50.0,2,3,66.7,3,8,11,12,2,1,0,3,0,0,2022
22100718,2022-01-25,regular,201935,James Harden,BKN,BKN,LAL,38,33,11,24,45.8,2,7,28.6,9,9,100.0,3,9,12,11,2,1,6,1,-12,0,2022
